0,0,43
0,1,43
0,2,43
0,3,43
0,4,43
0,5,63
0,6,63
0,7,63
0,8,63
0,9,63
0,10,63
0,11,63
0,12,63
0,13,63
0,14,63
0,15,63
0,16,3
0,17,3
0,18,3
0,19,3
0,20,3
0,21,3
0,22,3
0,23,3
0,24,3
0,25,3
0,26,3
0,27,3
0,28,3
0,29,21
0,30,21
0,31,21
0,32,21
0,33,21
0,34,21
0,35,21
0,36,21
0,37,21
0,38,21
0,39,21
0,40,21
0,41,21
0,42,21
0,43,21
0,44,21
0,45,21
0,46,21
0,47,21
0,48,21
0,49,21
0,50,21
0,51,21
0,52,21
0,53,21
0,54,21
0,55,23
0,56,23
0,57,23
0,58,23
0,59,23
0,60,23
0,61,23
0,62,23
0,63,23
0,64,23
0,65,23
0,66,23
0,67,23
0,68,23
0,69,23
0,70,23
0,71,23
0,72,23
0,73,23
0,74,23
0,75,23
0,76,23
0,77,23
0,78,55
0,79,55
0,80,55
0,81,55
0,82,55
0,83,55
0,84,55
0,85,55
0,86,55
0,87,55
0,88,55
0,89,55
0,90,55
0,91,55
0,92,55
0,93,55
0,94,55
0,95,55
0,96,55
0,97,55
0,98,55
0,99,55
1,0,43
1,1,43
1,2,43
1,3,43
1,4,43
1,5,63
1,6,63
1,7,63
1,8,63
1,9,63
1,10,63
1,11,63
1,12,63
1,13,63
1,14,63
1,15,63
1,16,3
1,17,3
1,18,3
1,19,3
1,20,3
1,21,3
1,22,3
1,23,3
1,24,3
1,25,3
1,26,3
1,27,3
1,28,3
1,29,21
1,30,21
1,31,21
1,32,21
1,33,21
1,34,21
1,35,21
1,36,21
1,37,21
1,38,21
1,39,21
1,40,21
1,41,21
1,42,21
1,43,21
1,44,21
1,45,21
1,46,21
1,47,21
1,48,21
1,49,21
1,50,21
1,51,21
1,52,21
1,53,21
1,54,21
1,55,23
1,56,23
1,57,23
1,58,23
1,59,23
1,60,23
1,61,23
1,62,23
1,63,23
1,64,23
1,65,23
1,66,23
1,67,23
1,68,23
1,69,23
1,70,23
1,71,23
1,72,23
1,73,23
1,74,23
1,75,23
1,76,23
1,77,23
1,78,55
1,79,55
1,80,55
1,81,55
1,82,55
1,83,55
1,84,55
1,85,55
1,86,55
1,87,55
1,88,55
1,89,55
1,90,55
1,91,55
1,92,55
1,93,55
1,94,55
1,95,55
1,96,55
1,97,55
1,98,55
1,99,55
2,0,43
2,1,43
2,2,43
2,3,43
2,4,43
2,5,43
2,6,63
2,7,63
2,8,63
2,9,63
2,10,63
2,11,63
2,12,63
2,13,63
2,14,17
2,15,17
2,16,3
2,17,3
2,18,3
2,19,3
2,20,3
2,21,3
2,22,3
2,23,3
2,24,3
2,25,3
2,26,3
2,27,3
2,28,3
2,29,40
2,30,21
2,31,21
2,32,21
2,33,21
2,34,21
2,35,21
2,36,21
2,37,21
2,38,21
2,39,21
2,40,21
2,41,21
2,42,21
2,43,21
2,44,21
2,45,21
2,46,21
2,47,21
2,48,21
2,49,21
2,50,21
2,51,21
2,52,21
2,53,21
2,54,23
2,55,23
2,56,23
2,57,23
2,58,23
2,59,23
2,60,23
2,61,23
2,62,23
2,63,23
2,64,23
